학제별,설립별,대학명,지역별,입학정원 합(명),평균 입학금(천원),평균등록금(천원)
대학,국공립,강릉원주대학교,강원,7412 ,0.0 ,4264.4 
대학,국공립,강원대학교,강원,18255 ,0.0 ,4114.2 
대학,국공립,경남과학기술대학교,경남,4767 ,0.0 ,3776.3 
대학,국공립,경북대학교,대구,19178 ,0.0 ,4500.6 
대학,국공립,경상대학교,경남,12528 ,0.0 ,4090.0 
대학,국공립,경인교육대학교,인천,2392 ,0.0 ,3189.0 
대학,국공립,공주교육대학교,충남,1416 ,0.0 ,3424.0 
대학,국공립,공주대학교,충남,10953 ,0.0 ,3824.0 
대학,국공립,광주과학기술원,광주,778 ,0.0 ,2060.0 
대학,국공립,광주교육대학교,광주,1304 ,0.0 ,3476.5 
대학,국공립,군산대학교,전북,6940 ,0.0 ,3934.3 
대학,국공립,금오공과대학교,경북,4850 ,0.0 ,3770.9 
대학,국공립,대구경북과학기술원,대구,880 ,0.0 ,1750.0 
대학,국공립,대구교육대학교,대구,1532 ,0.0 ,3604.0 
대학,국공립,목포대학교,전남,6453 ,0.0 ,3894.0 
대학,국공립,목포해양대학교,전남,2764 ,0.0 ,3409.4 
대학,국공립,부경대학교,부산,13128 ,0.0 ,4040.3 
대학,국공립,부산교육대학교,부산,1425 ,0.0 ,3024.0 
대학,국공립,부산대학교,부산,17254 ,0.0 ,4462.0 
대학,국공립,서울과학기술대학교,서울,8320 ,0.0 ,5435.4 
대학,국공립,서울교육대학교,서울,1420 ,0.0 ,3088.0 
대학,국공립,서울대학교,서울,13148 ,0.0 ,6011.8 
대학,국공립,서울시립대학교,서울,6826 ,0.0 ,2392.1 
대학,국공립,순천대학교,전남,6502 ,0.0 ,3945.8 
대학,국공립,안동대학교,경북,5824 ,0.0 ,3749.6 
대학,국공립,울산과학기술원,울산,1440 ,0.0 ,6167.2 
대학,국공립,인천대학교,인천,9968 ,0.0 ,4635.9 
대학,국공립,전남대학교,광주,16202 ,0.0 ,4149.6 
대학,국공립,전북대학교,전북,15608 ,0.0 ,4380.8 
